GEOID,lat,lon,image_path,tile_idx,n_tiles_total,median_income
09170361401,41.308014,-72.93286933333334,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09170361401_0.png,0,3,46888
09170361401,41.31046,-72.93286933333334,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09170361401_1.png,1,3,46888
09170361401,41.308014,-72.92850566666667,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09170361401_2.png,2,3,46888
09160310500,41.8096835,-73.10562974999999,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_0.png,0,7,80500
09160310500,41.813193,-73.10562974999999,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_1.png,1,7,80500
09160310500,41.8096835,-73.1010675,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_2.png,2,7,80500
09160310500,41.813193,-73.1010675,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_3.png,3,7,80500
09160310500,41.8167025,-73.1010675,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_4.png,4,7,80500
09160310500,41.8096835,-73.09650525,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_5.png,5,7,80500
09160310500,41.813193,-73.09650525,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09160310500_6.png,6,7,80500
09110511200,41.77423575,-72.59864175,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_0.png,0,7,69141
09110511200,41.777246500000004,-72.59864175,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_1.png,1,7,69141
09110511200,41.77423575,-72.5919205,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_2.png,2,7,69141
09110511200,41.777246500000004,-72.5919205,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_3.png,3,7,69141
09110511200,41.78025725,-72.5919205,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_4.png,4,7,69141
09110511200,41.77423575,-72.58519925,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_5.png,5,7,69141
09110511200,41.777246500000004,-72.58519925,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110511200_6.png,6,7,69141
09120071400,41.183734,-73.20336275,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09120071400_0.png,0,5,48477
09120071400,41.183734,-73.20003750000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09120071400_1.png,1,5,48477
09120071400,41.186398,-73.20003750000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09120071400_2.png,2,5,48477
09120071400,41.186398,-73.19671225,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09120071400_3.png,3,5,48477
09120071400,41.189062,-73.19671225,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09120071400_4.png,4,5,48477
09110514101,41.7976978,-72.50085440000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_0.png,0,10,117250
09110514101,41.8015226,-72.50085440000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_1.png,1,10,117250
09110514101,41.8053474,-72.50085440000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_2.png,2,10,117250
09110514101,41.8091722,-72.50085440000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_3.png,3,10,117250
09110514101,41.7976978,-72.49405080000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_4.png,4,10,117250
09110514101,41.8015226,-72.49405080000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_5.png,5,10,117250
09110514101,41.8053474,-72.49405080000001,/Users/braydenwinnicki/CODE/econ_project/data/raw/images/09110514101_6.png,6,10,117250
