GEOID,prediction,actual,error
9110400101,114897.21318488778,67398.00140879725,47499.211776090524
9110415900,41509.136490924626,42211.99986900466,702.8633780800374
9110416100,57655.702266132466,47030.00165715466,10625.700608977808
9110417200,67009.00511876277,50312.99813838841,16696.00698037436
9110420700,100036.33689871739,115391.99983982292,15355.662941105533
9110430201,105507.08852838656,133866.0000388983,28358.911510511723
9110430602,99873.82109944957,132877.99977615246,33004.17867670288
9110430603,93124.32106959073,57222.000801639726,35902.32026795101
9110430604,118785.18400074204,117135.00012445764,1650.1838762843981
9110462101,135204.2301119823,143344.9993724283,8140.769260446017
9110464102,110850.7563983542,100518.00009870974,10332.756299644461
9110473100,118969.46617679372,117668.99954493056,1300.4666318631644
9110473400,80708.67989008609,83392.99938031413,2684.3194902280375
9110473501,106939.2463978086,134470.0000564094,27530.753658600792
9110473602,97812.2378993997,84791.99944525943,13020.238454140272
9110477103,118437.41686343015,125648.99985432002,7211.582990889874
9110480500,87154.0725730121,94687.99987359997,7533.927300587864
9110480600,49618.771790587205,62829.000608167575,13210.22881758037
9110481300,76780.13462136581,105565.00000788196,28784.865386516147
9110484200,109644.96312162244,121087.99979524469,11443.03667362225
9110487400,133307.9483154831,166925.99795404758,33618.049638564466
9110487500,123858.94881700072,119394.00037040387,4464.948446596856
9110492600,105725.85134875454,123263.99971201747,17538.148363262924
9110494202,83700.41815346188,105624.99995414421,21924.581800682325
9110497400,132008.07820429918,214750.00051106617,82741.922306767
9110497500,96459.07639820318,127985.99996596822,31526.923567765043
9110497700,140941.327396421,216016.00297657627,75074.67558015528
9110501300,47260.53259697774,21264.99799853658,25995.53459844116
9110502500,43222.58543568905,27211.999863312536,16010.585572376513
9110503300,14347.290552040387,38684.998445050354,24337.707893009967
9110503900,45086.6816275407,59625.001139548964,14538.31951200826
9110504100,34747.52598660975,43124.99759835026,8377.471611740511
9110504300,35305.25072831928,41087.00016315587,5781.749434836587
9110504800,58114.5106232127,56768.99857917053,1345.512044042167
9110504900,40516.16080384696,50563.000691493595,10046.839887646638
9110510300,76983.0959955751,41936.99941721387,35046.096578361234
9110511400,97336.01482071273,101032.99996732695,3696.9851466142136
9110515101,73458.09475700937,136290.0008504971,62831.906093487734
9110515102,106059.50929911238,91711.00008967253,14348.509209439857
9110520201,125881.97137381091,180499.99833782966,54618.02696401875
9110520202,120548.07640891545,181749.99932023103,61201.922911315574
9110524300,114682.27352815075,97999.99977941348,16682.273748737265
9110524501,81201.65930829677,57704.999913375425,23496.65939492135
9110524700,62115.88002018614,79532.00087294915,17416.120852763015
9110526102,135788.2488960755,138928.9994980103,3140.750601934793
9110530400,89407.8028165133,77628.99974968802,11778.803066825276
9110535101,83906.30616122574,124022.99936823826,40116.69320701252
9110535102,105901.2090967557,92459.00019914666,13442.208897609045
9110538201,101505.98305499142,111934.9997493521,10429.016694360675
9110860100,122136.26190260654,122499.99959232523,363.7376897186914
9110881300,99291.59371850724,52137.002249034405,47154.591469472834
