GEOID,lat,lon,image_path,tile_idx,n_tiles_total,median_income
40109108229,35.671114,-97.50955400000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_0.png,0,7,106667
40109108229,35.674771,-97.50955400000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_1.png,1,7,106667
40109108229,35.678428,-97.50955400000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_2.png,2,7,106667
40109108229,35.671114,-97.505054,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_3.png,3,7,106667
40109108229,35.674771,-97.505054,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_4.png,4,7,106667
40109108229,35.678428,-97.505054,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_5.png,5,7,106667
40109108229,35.671114,-97.500554,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40109108229_6.png,6,7,106667
40143007000,36.107992749999994,-95.91794125,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_0.png,0,7,44209
40143007000,36.1116275,-95.91794125,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_1.png,1,7,44209
40143007000,36.11526225,-95.91794125,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_2.png,2,7,44209
40143007000,36.107992749999994,-95.9134715,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_3.png,3,7,44209
40143007000,36.1116275,-95.9134715,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_4.png,4,7,44209
40143007000,36.11526225,-95.9134715,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_5.png,5,7,44209
40143007000,36.107992749999994,-95.90900175,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143007000_6.png,6,7,44209
40143008002,36.208861,-95.9962414,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_0.png,0,10,34512
40143008002,36.211805,-95.9962414,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_1.png,1,10,34512
40143008002,36.214749000000005,-95.9962414,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_2.png,2,10,34512
40143008002,36.217693000000004,-95.9962414,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_3.png,3,10,34512
40143008002,36.208861,-95.9910648,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_4.png,4,10,34512
40143008002,36.211805,-95.9910648,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_5.png,5,10,34512
40143008002,36.214749000000005,-95.9910648,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_6.png,6,10,34512
40143008002,36.217693000000004,-95.9910648,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_7.png,7,10,34512
40143008002,36.208861,-95.98588819999999,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_8.png,8,10,34512
40143008002,36.211805,-95.98588819999999,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40143008002_9.png,9,10,34512
40073958300,35.8110135,-97.94829725000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40073958300_0.png,0,37,70658
40073958300,35.823509,-97.94829725000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40073958300_1.png,1,37,70658
40073958300,35.8360045,-97.94829725000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40073958300_2.png,2,37,70658
40073958300,35.8485,-97.94829725000001,/Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/40073958300_3.png,3,37,70658
