GEOID,prediction,actual,error
09110400101,100704.23201364813,67398.00140879722,33306.230604850905
09110415900,80165.98452371167,42211.99986900463,37953.98465470704
09110416100,92050.12872381501,47030.00165715462,45020.12706666039
09110417200,91783.64157949551,50312.99813838838,41470.64344110713
09110420700,109663.49613539137,115391.99983982294,5728.503704431569
09110430201,117897.35502538772,133866.00003889832,15968.645013510599
09110430602,113726.7261996902,132877.9997761525,19151.273576462292
09110430603,114766.5508534449,57222.0008016397,57544.55005180521
09110430604,117686.74345757879,117135.00012445766,551.743333121136
09110462101,115955.10799655107,143344.99937242834,27389.89137587727
09110464102,113441.82645040553,100518.00009870974,12923.826351695781
09110473100,108132.19293891269,117668.99954493057,9536.806606017883
09110473400,118986.75938492877,83392.99938031411,35593.760004614654
09110473501,108374.4882239088,134470.00005640942,26095.51183250062
09110473602,122195.94048255845,84791.99944525941,37403.94103729904
09110477103,121486.25467537684,125648.99985432002,4162.74517894318
09110480500,108227.77101707422,94687.99987359995,13539.771143474267
09110480600,92455.83790310152,62829.00060816755,29626.83729493397
09110481300,113125.09974532614,105565.00000788196,7560.0997374441795
09110484200,127478.68048520727,121087.9997952447,6390.680689962566
09110487400,112251.80525407678,166925.99795404763,54674.19269997085
09110487500,113391.15901493622,119394.00037040388,6002.841355467666
09110492600,104529.20571203578,123263.99971201748,18734.793999981703
09110494202,92631.66716019511,105624.99995414421,12993.3327939491
09110497400,95781.89728581249,214750.00051106623,118968.10322525374
09110497500,97478.81524330977,127985.99996596824,30507.184722658465
09110497700,121390.14120149458,216016.00297657633,94625.86177508175
09110501300,92742.5331059861,21264.99799853652,71477.53510744958
09110502500,79814.19492226413,27211.999863312492,52602.195058951635
09110503300,76234.28137761797,38684.99844505031,37549.28293256766
09110503900,80089.13351265115,59625.00113954894,20464.132373102213
09110504100,79415.45987980747,43124.99759835022,36290.46228145725
09110504300,88377.63664264492,41087.00016315583,47290.63647948909
09110504800,94810.35952092249,56768.99857917051,38041.36094175198
09110504900,93721.57303897387,50563.00069149356,43158.572347480316
09110510300,95637.01198661933,41936.99941721383,53700.012569405495
09110511400,97948.85807318192,101032.99996732695,3084.1418941450247
09110515101,104934.00724552493,136290.0008504971,31355.993604972173
09110515102,105579.88724927748,91711.00008967253,13868.887159604958
09110520201,126725.17471079755,180499.99833782972,53774.823627032165
09110520202,121203.53480412981,181749.9993202311,60546.464516101274
09110524300,114976.13655297463,97999.99977941348,16976.136773561142
09110524501,88465.19998679173,57704.999913375395,30760.200073416338
09110524700,100171.82257854118,79532.00087294914,20639.82170559204
09110526102,122700.72069998368,138928.99949801032,16228.278798026644
09110530400,124473.66705916039,77628.999749688,46844.667309472396
09110535101,120419.32957165361,124022.99936823826,3603.6697965846543
09110535102,121396.56005858108,92459.00019914666,28937.55985943442
09110538201,123978.61086525169,111934.99974935211,12043.611115899577
09110860100,107335.08941963899,122499.99959232524,15164.910172686257
09110881300,107996.43919300589,52137.002249034376,55859.436943971516
09110881500,114251.55393060882,57433.99983236177,56817.55409824705
09120060100,116377.28703814624,185520.9997953437,69143.71275719746
09120060400,113062.19406214419,250000.99678762158,136938.80272547738
09120060600,92989.71507365745,201058.99959228592,108069.28451862847
09120061100,110015.89035841625,187058.99801588999,77043.10765747374
09120070200,87705.55225872192,67083.00019501586,20622.552063706054
09120070500,62065.69274704131,38028.00087919453,24037.691867846777
09120070900,66511.2535351183,26042.000404892227,40469.253130226076
09120072100,91057.69947913731,63113.000421316414,27944.6990578209
09120072200,86019.49171403167,72115.0011992765,13904.490514755162
09120072500,89664.76625043324,68587.9997753222,21076.766475111042
09120073900,58824.06387024334,50388.999291592336,8435.064578651007
09120080500,99369.49600520922,84896.00024812242,14473.4957570868
09120080700,86794.0230012706,84860.99994960333,1933.0230516672746
09120090300,105076.03320385126,152174.00031607208,47097.967112220824
09120090400,100686.6637431999,146533.99892352312,45847.33518032322
09120100200,92958.69747122873,151457.9987541436,58499.301282914865
09120105200,119463.53258824212,192009.00025656205,72545.46766831994
09130541500,99808.32312887153,65900.00100446037,33908.32212441116
09130542000,107715.08137730973,100956.99991879091,6758.08145851882
09130550201,125585.25315062492,133893.00106875363,8307.747918128705
09130590102,100530.26375378463,105179.00003753696,4648.736283752325
09130610400,94132.46605660731,145624.9986191736,51492.53256256628
09140110100,74476.03888496132,80199.99945844215,5723.960573480828
09140125300,90482.37369516447,89855.000377262,627.3733179024712
09140343101,117954.11875490956,143750.00009135262,25795.881336443053
09140343400,127924.66143834848,154657.00217796245,26732.340739613966
09140345100,107212.70675840137,80140.99988104115,27071.706877360222
09140345201,105448.47678148274,92500.00031738624,12948.4764640965
09140350200,105058.26259506153,21797.00017940199,83261.26241565954
09140350300,99504.39252880664,46563.00108274647,52941.391446060166
09140351400,109986.48667582519,53544.99725666604,56441.489419159145
09140351800,118187.99904787967,62434.00081618619,55753.99823169348
09140352000,127807.20872594649,77082.99921688357,50724.209509062915
09140352200,120387.89955986642,41481.999955137195,78905.89960472923
09140352400,103884.30980630654,53270.002696437514,50614.30710986903
09140352500,117318.41034929428,54697.99955795503,62620.41079133925
09140352701,111379.33926377077,55737.00012943808,55642.339134332695
09140360300,119017.5899302556,86124.99928394367,32892.59064631193
09140360400,116550.00039524752,96471.00018377996,20079.00021146756
09140361300,114590.83574537018,110624.99983330071,3965.835912069466
09140362101,122163.21285418264,91250.00007143013,30913.21278275251
09140425400,110960.33872001697,94175.00019037134,16785.338529645625
09140425500,88132.7037788678,72472.99903445962,15659.704744408184
09150825000,121508.24935019846,94946.00022247835,26562.249127720104
09150890203,121304.26284415525,89375.00007071861,31929.26277343664
09150901102,120043.91038685624,96549.00004948195,23494.910337374284
09150904400,99368.10743762816,70536.0006511548,28832.106786473363
09150904500,98589.79008518942,81607.00026494179,16982.789820247635
09160262100,125948.44881661533,106951.00006452504,18997.44875209029
09160300100,124826.68210555884,115480.99998871684,9345.682116842
09160300400,125036.01373146594,119354.9997011076,5681.014030358332
09160303100,122927.53848268997,110999.99998073207,11927.538501957897
09160310200,89899.98245514666,59256.99943164178,30642.98302350488
09160320200,115927.54284960897,79658.99938910919,36268.543460499786
09160410101,125008.407343588,156154.00101671444,31145.593673126437
09170140500,85328.58968023787,48438.002556348554,36890.587123889316
09170140900,88452.28420941875,47682.99885223324,40769.28535718551
09170141800,101984.9493923575,73095.000720468,28889.948671889506
09170142100,97689.2883594055,42368.00254618972,55321.285813215785
09170142300,96401.49595086249,29072.001419390755,67329.49453147173
09170150400,93181.77263900689,97451.99979766575,4270.227158658861
09170154500,77996.6273433914,56977.99880470027,21018.628538691133
09170154800,84225.56108296162,115345.99999455718,31120.438911595556
09170157300,107792.53332772118,156515.000602871,48722.46727514983
09170160100,127479.40072869403,210929.00423858242,83449.60350988839
09170165900,117658.05891380656,140305.00037676803,22646.941462961477
09170170500,116458.22752986319,112386.00031354214,4072.2272163210437
09170171100,115856.55320655572,86462.99968391263,29393.553522643095
09170171400,99914.93352559481,58140.000467347316,41774.933058247494
09170175100,95996.12700929672,82249.9994788586,13746.127530438112
09170175900,100978.06777722389,98036.00017062687,2942.0676065970183
09170180102,104142.3986897163,86783.99998096918,17358.398708747118
09170180300,105704.5214078565,59374.998586443755,46329.52282141275
09170180400,114750.24669132491,89134.99991744691,25615.246773877996
09170180601,112372.22510452392,113043.00008873378,670.7749842098565
09170184101,96363.98805615483,68589.00134090705,27774.986715247782
09170186100,97906.52940765185,120885.00012588069,22978.47071822884
09170190200,97524.41078011517,176528.0013245228,79003.59054440763
09170190303,126983.78925504195,130278.00032504498,3294.2110700030316
09170361500,80356.01833742346,41453.997359697,38902.02097772646
09180690700,98477.3131653419,43234.99895737899,55242.3142079629
09180690900,104307.54929890345,93732.99972398466,10574.549574918798
09180693700,118751.40030983044,134476.00061257518,15724.600302744744
09180696500,90054.84806081482,65890.00007751744,24164.847983297383
09180696701,93232.60135599317,34643.99945450894,58588.60190148423
09180702300,111926.15356861289,72286.00084820429,39640.1527204086
09180702700,106131.99098030897,81405.9993080758,24725.99167223317
09180705101,114371.41997420316,101614.99997078817,12756.420003414998
09180714103,121312.04854368695,140234.0011599261,18921.95261623914
09180870100,118422.30206044219,106593.99992858905,11828.30213185314
09180870502,120121.76149061105,86458.00069333173,33663.76079727932
09180870701,110706.80343888931,107720.99981982644,2985.8036190628773
09190010202,119845.482569809,231912.00355448277,112066.52098467377
09190020200,124317.40368034513,250000.99678762158,125683.59310727645
09190020500,108012.71978887683,188631.00233382336,80618.28254494653
09190021000,90817.16761237131,160192.00120206352,69374.8335896922
09190021501,87249.62192980759,52155.00097175051,35094.62095805708
09190021502,80902.64043004673,73703.99972856001,7198.6407014867145
09190030400,99658.69401738803,250000.99678762158,150342.30277023354
09190035300,107987.69648282895,250000.99678762158,142013.30030479265
09190042700,97800.9290456342,92308.00019476887,5492.928850865326
09190043400,85654.31795601117,97762.99990422466,12108.681948213489
