GEOID,prediction,actual,error
09110400101,130614.36434359514,67398.00140879722,63216.362934797915
09110415900,45307.07908026989,42211.99986900463,3095.0792112652634
09110416100,92656.47873822413,47030.00165715462,45626.47708106951
09110417200,91515.86418304022,50312.99813838838,41202.86604465184
09110420700,88294.48755152432,115391.99983982294,27097.512288298618
09110430201,118835.10173491327,133866.00003889832,15030.898303985043
09110430602,108231.87080796459,132877.9997761525,24646.1289681879
09110430603,116432.85698986438,57222.0008016397,59210.85618822468
09110430604,121705.34125550235,117135.00012445766,4570.341131044697
09110462101,204531.25072812208,143344.99937242834,61186.251355693734
09110464102,148321.5931793784,100518.00009870974,47803.59308066865
09110473100,119670.40448690405,117668.99954493057,2001.4049419734802
09110473400,72847.14269602686,83392.99938031411,10545.856684287253
09110473501,105867.25896921015,134470.00005640942,28602.741087199276
09110473602,102814.3361873344,84791.99944525941,18022.336742074986
09110477103,149748.03761423938,125648.99985432002,24099.03775991936
09110480500,92531.37804155833,94687.99987359995,2156.621832041623
09110480600,67710.99654562774,62829.00060816755,4881.995937460189
09110481300,88359.48473930993,105565.00000788196,17205.515268572024
09110484200,142288.889704131,121087.9997952447,21200.889908886296
09110487400,137333.77947897615,166925.99795404763,29592.21847507148
09110487500,121958.3926920791,119394.00037040388,2564.3923216752155
09110492600,138012.75846363846,123263.99971201748,14748.758751620975
09110494202,79527.94158654934,105624.99995414421,26097.058367594873
09110497400,149699.28493650584,214750.00051106623,65050.715574560396
09110497500,112846.92447792039,127985.99996596824,15139.075488047849
09110497700,147868.99158314316,216016.00297657633,68147.01139343317
09110501300,60845.58849734794,21264.99799853652,39580.59049881142
09110502500,50109.4564452961,27211.999863312492,22897.456581983606
09110503300,35167.32925572198,38684.99844505031,3517.669189328328
09110503900,87998.47778870055,59625.00113954894,28373.476649151606
09110504100,44786.37102426428,43124.99759835022,1661.3734259140547
09110504300,57895.85412713243,41087.00016315583,16808.853963976595
09110504800,81535.54592491497,56768.99857917051,24766.54734574446
09110504900,46615.23567377797,50563.00069149356,3947.7650177155883
09110510300,91735.88752156569,41936.99941721383,49798.888104351856
09110511400,116454.28018314639,101032.99996732695,15421.280215819439
09110515101,66043.31031074794,136290.0008504971,70246.69053974916
09110515102,113863.56951639317,91711.00008967253,22152.56942672064
09110520201,142551.30283314505,180499.99833782972,37948.69550468467
09110520202,144833.66459635808,181749.9993202311,36916.334723873006
09110524300,121830.41764947382,97999.99977941348,23830.417870060337
09110524501,103282.22721614534,57704.999913375395,45577.22730276995
09110524700,95248.50764203389,79532.00087294914,15716.50676908475
09110526102,124355.75038623011,138928.99949801032,14573.249111780213
09110530400,120293.57564802181,77628.999749688,42664.57589833382
09110535101,104691.08648834442,124022.99936823826,19331.912879893847
09110535102,148443.01827763682,92459.00019914666,55984.01807849016
09110538201,115495.28702720674,111934.99974935211,3560.28727785463
09110860100,130819.05489132888,122499.99959232524,8319.055299003638
09110881300,103311.17660405247,52137.002249034376,51174.17435501809
09110881500,128849.96074970104,57433.99983236177,71415.96091733928
09120060100,138837.2030663769,185520.9997953437,46683.79672896679
09120060400,188905.00122002928,250000.99678762158,61095.9955675923
09120060600,131747.24990553415,201058.99959228592,69311.74968675178
09120061100,170287.5584180701,187058.99801588999,16771.439597819874
09120070200,80832.19796583873,67083.00019501586,13749.197770822866
09120070500,74618.48507737723,38028.00087919453,36590.484198182705
09120070900,86578.36972905436,26042.000404892227,60536.36932416214
09120072100,88972.39279896402,63113.000421316414,25859.392377647608
09120072200,126292.20380002553,72115.0011992765,54177.20260074902
09120072500,89631.5849717631,68587.9997753222,21043.58519644091
09120073900,31360.84979265633,50388.999291592336,19028.149498936007
09120080500,98147.33744139898,84896.00024812242,13251.337193276559
09120080700,86132.9749863584,84860.99994960333,1271.9750367550732
09120090300,157585.19699654123,152174.00031607208,5411.196680469147
09120090400,147767.3208931555,146533.99892352312,1233.3219696323795
09120100200,160645.84591793644,151457.9987541436,9187.847163792845
09120105200,132846.89527318036,192009.00025656205,59162.104983381694
09130541500,84201.3938945552,65900.00100446037,18301.392890094838
09130542000,107691.71544137121,100956.99991879091,6734.7155225803
09130550201,150345.8308709055,133893.00106875363,16452.829802151886
09130590102,139200.91866273712,105179.00003753696,34021.91862520017
09130610400,170908.5821047427,145624.9986191736,25283.583485569106
09140110100,311.88657800077635,80199.99945844215,79888.11288044137
09140125300,77170.397597287,89855.000377262,12684.602779975
09140343101,96084.19555490765,143750.00009135262,47665.804536444964
09140343400,134230.19874336413,154657.00217796245,20426.803434598318
09140345100,119010.39191405973,80140.99988104115,38869.39203301858
09140345201,112987.76006450242,92500.00031738624,20487.759747116186
09140350200,63012.475640189085,21797.00017940199,41215.47546078709
09140350300,40340.833802436326,46563.00108274647,6222.167280310146
09140351400,70233.8548262332,53544.99725666604,16688.85756956716
09140351800,101929.80547423557,62434.00081618619,39495.80465804938
09140352000,109890.36878327123,77082.99921688357,32807.36956638766
09140352200,98003.9110403114,41481.999955137195,56521.91108517421
09140352400,88682.85049861541,53270.002696437514,35412.8478021779
09140352500,83355.80152907058,54697.99955795503,28657.80197111555
