GEOID,prediction,actual,error
09110400101,100159.03420620215,67398.00140879722,32761.03279740493
09110415900,87600.61469745895,42211.99986900463,45388.61482845432
09110416100,74397.76653450464,47030.00165715462,27367.76487735002
09110417200,80033.27413793681,50312.99813838838,29720.27599954843
09110420700,81643.40275527969,115391.99983982294,33748.597084543246
09110430201,110887.80327831474,133866.00003889832,22978.19676058358
09110430602,127606.13265166164,132877.9997761525,5271.867124490847
09110430603,107898.94525244068,57222.0008016397,50676.944450800984
09110430604,119590.90816438704,117135.00012445766,2455.908039929389
09110462101,210127.10369884668,143344.99937242834,66782.10432641834
09110464102,135290.90972178956,100518.00009870974,34772.90962307982
09110473100,103165.65216240933,117668.99954493057,14503.347382521242
09110473400,87133.39908102817,83392.99938031411,3740.399700714057
09110473501,72147.11905095802,134470.00005640942,62322.8810054514
09110473602,131040.65127697881,84791.99944525941,46248.6518317194
09110477103,129510.92480985099,125648.99985432002,3861.9249555309652
09110480500,86240.11893768919,94687.99987359995,8447.880935910769
09110480600,67226.20639896381,62829.00060816755,4397.205790796259
09110481300,77237.37582288384,105565.00000788196,28327.624184998116
09110484200,138820.53583673242,121087.9997952447,17732.53604148772
09110487400,108210.0812331543,166925.99795404763,58715.916720893336
09110487500,141220.12496009088,119394.00037040388,21826.124589686995
09110492600,148387.06905659795,123263.99971201748,25123.069344580465
09110494202,84932.56770220373,105624.99995414421,20692.43225194048
09110497400,158942.72488182058,214750.00051106623,55807.27562924565
09110497500,152864.93033478665,127985.99996596824,24878.930368818415
09110497700,135878.02746763354,216016.00297657633,80137.97550894279
09110501300,54536.84765535132,21264.99799853652,33271.8496568148
09110502500,44094.130132946,27211.999863312492,16882.130269633504
09110503300,30299.054766774352,38684.99844505031,8385.943678275959
09110503900,99209.41268471112,59625.00113954894,39584.41154516218
09110504100,59982.79571583394,43124.99759835022,16857.79811748372
09110504300,35781.52462173073,41087.00016315583,5305.475541425105
09110504800,78861.66775590907,56768.99857917051,22092.669176738564
09110504900,52856.2736280193,50563.00069149356,2293.27293652574
09110510300,80606.73229667201,41936.99941721383,38669.73287945818
09110511400,114908.12804042689,101032.99996732695,13875.128073099942
09110515101,86092.28196580183,136290.0008504971,50197.71888469528
09110515102,106934.42673165412,91711.00008967253,15223.426641981598
09110520201,132229.203264968,180499.99833782972,48270.795072861714
09110520202,136598.30335798446,181749.9993202311,45151.695962246624
09110524300,97511.17980416107,97999.99977941348,488.81997525240877
09110524501,101156.85349390602,57704.999913375395,43451.853580530624
09110524700,71282.9682643422,79532.00087294914,8249.03260860694
09110526102,126854.43853264806,138928.99949801032,12074.560965362267
09110530400,108502.33070636315,77628.999749688,30873.330956675156
09110535101,140270.21953894326,124022.99936823826,16247.220170704997
09110535102,128148.1711088436,92459.00019914666,35689.17090969694
09110538201,85225.22811188048,111934.99974935211,26709.771637471626
09110860100,106377.04130710872,122499.99959232524,16122.958285216519
09110881300,105705.64890558475,52137.002249034376,53568.64665655037
09110881500,109036.6508487568,57433.99983236177,51602.65101639504
09120060100,98998.42000646825,185520.9997953437,86522.57978887545
09120060400,201288.82943619962,250000.99678762158,48712.16735142196
09120060600,123335.18156728959,201058.99959228592,77723.81802499633
09120061100,184044.8924363794,187058.99801588999,3014.105579510593
