GEOID,prediction,actual,error
25001010208,109316.20253239645,94637.00030130803,14679.20223108842
25001010304,122574.14784919721,70779.00108250938,51795.14676668783
25001012001,107789.92483852884,78085.0007773495,29704.924061179336
25001012101,109388.71624896282,85595.00023424793,23793.716014714897
25001012800,122910.31891908323,126837.99960104127,3927.680681958038
25001013400,120319.62077189982,130803.99900396354,10484.378232063726
25001013600,113918.15778654908,104625.00000592961,9293.15778061947
25001013700,115830.50219111545,93565.99970938875,22264.502481726697
25001014002,116826.62102666088,97451.99979766575,19374.621228995136
25001014600,119334.13767913124,89779.0006969486,29555.136982182637
25001014800,99931.84341396004,57041.99884557272,42889.84456838732
25003900300,113299.69987524243,76785.99967159948,36513.70020364295
25003900600,103814.32389214617,50745.002832949125,53069.32105919705
25003912100,113952.94672527196,81167.99934019269,32784.94738507927
25003913100,125564.44120692779,97569.000332664,27995.44087426379
25003931400,120002.04052673746,102895.99996037489,17106.04056636257
25003934300,124694.09838837263,110385.00004825166,14309.098340120967
25003935300,107286.09261029413,47896.0023943213,59390.09021597283
25005613400,120591.43094272474,101201.00007461714,19390.430868107593
25005613901,84917.55894733651,62167.001105949734,22750.557841386777
25005613902,110859.44718913871,67390.00066724289,43469.44652189582
25005614101,95536.78620227688,76017.00056132633,19519.785640950548
25005631300,103963.26435824834,99219.00009762765,4744.264260620694
25005631700,110991.08383769098,111419.9998807349,428.9160430439224
25005631800,102009.56581238653,96553.99977650814,5455.566035878393
25005640202,103042.24961651044,35413.00151056322,67629.24810594722
25005640800,101129.44852381297,68086.99899508923,33042.44952872374
25005641101,71704.54194791475,24068.99868459288,47635.54326332187
25005642200,86567.10948067752,64432.000435171154,22135.109045506368
25005644200,107156.01520051724,118333.00070542753,11176.985504910292
25005645101,111421.30559822163,115556.00031278122,4134.694714559591
25005646101,111174.33278101064,87542.99963718996,23631.33314382068
25005646104,102612.10969346187,116057.99971281791,13445.89001935604
25005650102,102341.20663911427,67813.00010888331,34528.206530230964
25005650900,73129.61364876825,36430.998662575555,36698.6149861927
25005651300,86892.93791300931,36339.00191782517,50553.93599518415
25005651600,73872.98446319356,70376.9991687774,3495.985294416154
25005652100,81622.95903422406,71686.00120147034,9936.957832753717
25005652300,85814.68333505266,44696.00035069873,41118.68298435393
25005655400,99313.2393182647,102083.00008555665,2769.7607672919403
25005985600,107518.43833540581,128888.99971415204,21370.561378746235
25009203301,81863.20663311082,130261.00022213257,48397.79358902175
25009204200,74045.807550642,86844.99974375876,12799.19219311676
25009206400,62765.73701257809,98541.99994144074,35776.26292886265
25009206500,56556.50465721827,41905.99801658133,14650.506640636937
25009208301,87652.4442435848,84725.00059919464,2927.443644390165
25009209200,109837.58112183222,186094.00135800344,76256.42023617122
25009210302,79848.88149509268,113255.99994859542,33407.11845350274
25009210500,80452.60902784909,141760.99983372574,61308.390805876654
25009210700,68000.42248762163,61320.00065708405,6680.421830537583
25009210800,57031.405816622275,68952.00111245218,11920.59529582991
25009210900,70830.8792340239,78363.00003433261,7532.120800308709
25009211100,87085.2223035059,106160.99992822835,19075.777624722454
25009212101,118681.963829879,176067.99992608413,57386.036096205135
25009213100,125751.15512530389,192605.00247829995,66853.84735299606
25009217201,92701.8025267201,119195.99969162077,26494.197164900674
25009217401,67742.39857249417,67926.00027310438,183.60170061020472
25009221600,85531.84121388865,59205.00050310083,26326.840710787816
25009221700,80061.16479369398,75795.00060366135,4266.164190032636
25009221902,111787.27766292889,99812.99992464113,11974.277738287754
25009250200,77465.06702969574,88402.99981819089,10937.932788495149
25009250400,68435.85607141994,53074.00220304299,15361.853868376951
25009250600,75471.68050396339,54925.001451982054,20546.679051981337
25009250700,74916.52742918204,58471.000218456225,16445.527210725813
25009251500,79775.07200305088,61042.00140010094,18733.07060294994
25009251800,78627.94358933897,76297.00000369802,2330.9435856409546
