GEOID,prediction,actual,error
25001010208,152730.00177581943,94637.00030130803,58093.0014745114
25001010304,138181.0980722041,70779.00108250938,67402.09698969472
25001012001,127932.20263804625,78085.0007773495,49847.20186069675
25001012101,125977.64739919509,85595.00023424793,40382.647164947164
25001012800,153713.45375249753,126837.99960104127,26875.45415145626
25001013400,143420.67648970778,130803.99900396354,12616.677485744236
25001013600,146163.6111328991,104625.00000592961,41538.61112696948
25001013700,116578.51040148769,93565.99970938875,23012.510692098935
25001014002,144104.77818775852,97451.99979766575,46652.778390092775
25001014600,130503.4439008532,89779.0006969486,40724.44320390461
25001014800,99551.98714633269,57041.99884557272,42509.988300759964
25003900300,112150.22146463252,76785.99967159948,35364.22179303304
25003900600,90609.19841023772,50745.002832949125,39864.19557728859
25003912100,113514.82732552661,81167.99934019269,32346.82798533392
25003913100,139398.9281788636,97569.000332664,41829.9278461996
25003931400,121648.34333638052,102895.99996037489,18752.343376005636
25003934300,159092.66514143615,110385.00004825166,48707.66509318449
25003935300,121687.69749941262,47896.0023943213,73791.69510509132
25005613400,122059.84097559129,101201.00007461714,20858.840900974144
25005613901,82714.55210914613,62167.001105949734,20547.551003196393
25005613902,109420.43936597265,67390.00066724289,42030.43869872976
25005614101,79838.18389091204,76017.00056132633,3821.183329585707
25005631300,158742.67688515078,99219.00009762765,59523.67678752313
25005631700,161581.86198104697,111419.9998807349,50161.862100312064
25005631800,146625.30046392637,96553.99977650814,50071.30068741823
25005640202,83403.87815003435,35413.00151056322,47990.87663947113
25005640800,104816.57326644982,68086.99899508923,36729.57427136059
25005641101,25634.062742179405,24068.99868459288,1565.0640575865255
25005642200,60016.03885590784,64432.000435171154,4415.961579263312
25005644200,109230.33006661935,118333.00070542753,9102.67063880818
25005645101,104164.8589475472,115556.00031278122,11391.141365234027
25005646101,138411.95599373284,87542.99963718996,50868.95635654288
25005646104,127060.63437454021,116057.99971281791,11002.634661722303
25005650102,106103.8935675386,67813.00010888331,38290.89345865529
25005650900,58252.33193925145,36430.998662575555,21821.333276675898
25005651300,80145.65126944848,36339.00191782517,43806.64935162332
25005651600,70589.04238621645,70376.9991687774,212.04321743904438
25005652100,79402.79596672127,71686.00120147034,7716.794765250932
25005652300,67965.06427669499,44696.00035069873,23269.063925996263
25005655400,111272.770476206,102083.00008555665,9189.770390649355
25005985600,143002.5316953728,128888.99971415204,14113.53198122076
25009203301,144878.56419237106,130261.00022213257,14617.563970238494
25009204200,78335.15945685469,86844.99974375876,8509.840286904073
25009206400,44940.9656180683,98541.99994144074,53601.034323372434
25009206500,60027.388950609195,41905.99801658133,18121.390934027862
25009208301,111001.42573879994,84725.00059919464,26276.4251396053
25009209200,178292.61848754896,186094.00135800344,7801.382870454487
25009210302,98308.85903953476,113255.99994859542,14947.140909060661
25009210500,123913.40158122458,141760.99983372574,17847.598252501164
25009210700,93308.97956918202,61320.00065708405,31988.97891209797
25009210800,54145.33566823017,68952.00111245218,14806.665444222017
25009210900,101973.60666210898,78363.00003433261,23610.606627776375
25009211100,102424.38297871035,106160.99992822835,3736.6169495180075
