GEOID,prediction,actual,error
25001010208,149255.13184055698,94637.00030130803,54618.13153924895
25001010304,95778.93530288433,70779.00108250938,24999.934220374955
25001012001,77905.63511000702,78085.0007773495,179.3656673424848
25001012101,61198.31927586714,85595.00023424793,24396.680958380784
25001012800,126200.98621438455,126837.99960104127,637.0133866567194
25001013400,129628.87094059259,130803.99900396354,1175.128063370954
25001013600,145180.86614369263,104625.00000592961,40555.86613776302
25001013700,88052.47837552064,93565.99970938875,5513.521333868106
25001014002,92337.57362799767,97451.99979766575,5114.426169668077
25001014600,116709.73390423621,89779.0006969486,26930.733207287616
25001014800,94370.31137098098,57041.99884557272,37328.31252540826
25003900300,61609.847845779805,76785.99967159948,15176.151825819674
25003900600,92514.24685138556,50745.002832949125,41769.24401843643
25003912100,111525.39698385446,81167.99934019269,30357.397643661767
25003913100,118862.26625562143,97569.000332664,21293.265922957435
25003931400,106291.49103614295,102895.99996037489,3395.4910757680627
25003934300,114600.34472686406,110385.00004825166,4215.344678612397
25003935300,86449.7186296793,47896.0023943213,38553.71623535799
25005613400,107016.7005575559,101201.00007461714,5815.700482938759
25005613901,85069.50822968406,62167.001105949734,22902.50712373432
25005613902,87286.63272394924,67390.00066724289,19896.632056706352
25005614101,64159.17102407459,76017.00056132633,11857.829537251746
25005631300,137085.30578627845,99219.00009762765,37866.3056886508
25005631700,119132.27655417472,111419.9998807349,7712.276673439817
25005631800,121566.03526577308,96553.99977650814,25012.03548926495
25005640202,71136.20355678684,35413.00151056322,35723.202046223625
25005640800,119840.46295876018,68086.99899508923,51753.46396367095
25005641101,46338.8448132929,24068.99868459288,22269.846128700017
25005642200,82554.07920909332,64432.000435171154,18122.07877392217
25005644200,113542.11483259701,118333.00070542753,4790.88587283052
25005645101,92297.10743258827,115556.00031278122,23258.892880192958
25005646101,135116.19249707327,87542.99963718996,47573.192859883304
25005646104,105264.22746930181,116057.99971281791,10793.772243516098
25005650102,84512.78505355938,67813.00010888331,16699.784944676067
25005650900,70173.86988504359,36430.998662575555,33742.871222468035
25005651300,77810.17412664549,36339.00191782517,41471.172208820324
25005651600,80565.15406888528,70376.9991687774,10188.154900107882
25005652100,107955.01488228331,71686.00120147034,36269.013680812976
25005652300,91232.79965540074,44696.00035069873,46536.79930470201
25005655400,81377.50476718658,102083.00008555665,20705.49531837007
25005985600,144023.18005040387,128888.99971415204,15134.180336251826
25009203301,117121.09014595265,130261.00022213257,13139.91007617992
25009204200,73799.18380849515,86844.99974375876,13045.815935263614
25009206400,67178.92366601511,98541.99994144074,31363.07627542563
25009206500,66643.43662607056,41905.99801658133,24737.438609489225
25009208301,78095.08713194526,84725.00059919464,6629.913467249382
25009209200,156863.1212339187,186094.00135800344,29230.88012408474
25009210302,80445.54799047584,113255.99994859542,32810.45195811958
25009210500,83302.75832111837,141760.99983372574,58458.241512607376
25009210700,81096.9986504602,61320.00065708405,19776.99799337615
25009210800,66709.37204514671,68952.00111245218,2242.6290673054755
25009210900,88825.84313343132,78363.00003433261,10462.84309909871
25009211100,93006.8956056642,106160.99992822835,13154.104322564148
25009212101,120873.31126634916,176067.99992608413,55194.688659734966
25009213100,159065.22813597327,192605.00247829995,33539.77434232668
25009217201,112711.71827908148,119195.99969162077,6484.281412539291
25009217401,61143.8017044584,67926.00027310438,6782.198568645981
25009221600,64175.81468747003,59205.00050310083,4970.814184369199
25009221700,73249.91345863427,75795.00060366135,2545.087145027079
25009221902,106551.84322303256,99812.99992464113,6738.8432983914245
25009250200,120784.02758602132,88402.99981819089,32381.027767830426
25009250400,72403.35193115725,53074.00220304299,19329.349728114255
25009250600,66069.98435889764,54925.001451982054,11144.982906915582
25009250700,59383.3410386094,58471.000218456225,912.3408201531711
25009251500,74895.23237737927,61042.00140010094,13853.230977278334
25009251800,85899.73245500337,76297.00000369802,9602.732451305346
25009252601,97020.60193401818,96316.99990131932,703.6020326988655
25009260301,122299.70415004034,102945.99999230649,19353.704157733853
25009261000,66966.84215342134,94722.00007942478,27755.157926003434
25009261101,135212.56078102344,125840.99997693738,9371.560804086053
25009263100,153147.29523940728,189048.001219298,35900.705979890714
25009264100,122930.6919413917,135520.99879444286,12590.306853051152
25009266100,102248.64725016769,101087.99991039606,1160.6473397716327
25009266400,135733.2541081234,80312.99962266322,55420.25448546017
25011040501,101584.30732484056,53468.00042943949,48116.30689540107
25011040600,106325.18929940174,100820.00010746531,5505.189191936428
25011041100,89197.2192336251,87812.9996255093,1384.2196081158036
25011041301,70780.15582871309,49999.9971099956,20780.15871871749
25011041302,72796.36332087455,36494.998703448,36301.364617426545
25013800101,113698.24196903493,62718.00062933505,50980.24133969988
25013800300,90597.05884619302,59860.9994491529,30736.059397040117
25013800900,63900.160272267945,15539.00041740296,48361.159854864985
25013801300,77358.27068053851,37208.00146018417,40150.26922035434
25013801503,107038.97950025674,59327.000028679984,47711.97947157676
25013801602,141578.85334899471,75637.00068686879,65941.85266212592
25013801603,115452.00024636349,96011.00025823187,19440.999988131618
25013801605,109083.5811926376,71928.99868704379,37154.58250559382
25013802601,143180.17113497196,63734.00054173994,79446.17059323202
25013810414,124904.89112172119,91510.0006056971,33394.89051602408
25013811102,80264.07461673346,77869.99999565398,2394.074621079475
25013811200,103537.79020730403,71985.99955194675,31551.790655357283
25013811301,120216.48750158017,73750.00104671634,46466.48645486383
25013811302,80599.85831640064,64037.999262993515,16561.859053407126
25013812104,97894.9024095241,52438.00216509564,45456.90024442846
25013812202,95079.24158530225,51667.00286943391,43412.23871586834
25013812403,149151.6141457996,59647.998852845965,89503.61529295363
25013812800,125801.50588930151,88306.99975688221,37494.506132419294
25013813208,147419.76879786624,83350.99990582552,64068.76889204072
25013813601,120502.2415273931,103217.99998190309,17284.241545490004
25013813802,126942.27730733069,101477.00006676826,25465.277240562427
25015820700,142202.5989374332,79410.00134737,62792.59759006322
25015822401,138541.1078759003,96181.99990715964,42359.107968740675
25017311300,76267.08854208434,80315.9999007461,4048.9113586617605
25017312100,75286.37614185893,84678.0006612346,9391.624519375677
25017312300,111147.22128436287,117649.00063682585,6501.7793524629815
25017312502,103725.36213046263,117007.00004271275,13281.637912250124
25017315401,98614.58251564107,107656.00005448233,9041.417538841255
25017316201,159954.7715559464,153333.00022774568,6621.771328200732
25017317103,121666.39802893816,160865.000251028,39198.60222208983
25017320107,129439.47488849587,178621.0023850127,49181.52749651682
25017321302,133833.52869348097,96015.99998525805,37817.52870822292
25017321500,110772.46710965602,94273.9997933176,16498.467316338414
25017323101,123512.57356127368,169119.9980664271,45607.42450515342
25017327101,113314.10621786816,164583.0002320148,51268.894014146645
25017330102,129698.73014013647,141978.99942061357,12280.269280477107
25017330202,105653.93074680795,100344.99989617075,5308.930850637204
25017331300,150623.9479591339,142266.00098473587,8357.946974398015
25017332100,148711.52033625057,186117.9976911042,37406.47735485362
25017332202,127473.97312695843,126093.99986234431,1379.9732646141201
25017332401,110723.4323733791,146146.00125329237,35422.56887991328
25017333300,101977.27581662012,96353.99964878171,5623.276167838412
25017335200,149624.97171589048,130384.9999331003,19239.971782790177
25017335302,134580.25475261552,157221.99985766027,22641.74510504474
25017336300,129051.79241684623,160750.00284719944,31698.21043035321
25017337300,108960.359904334,105644.99996691686,3315.3599374171317
25017338100,134453.69221206303,205759.00517141508,71305.31295935204
25017338200,82214.8180147999,139374.9995987289,57160.18158392901
25017338400,166276.56515413863,250000.99678762158,83724.43163348295
25017339500,51860.805810104015,94121.99969624553,42261.19388614152
25017339803,78280.77149981573,109921.99984462069,31641.228344804957
25017339900,73830.17637178426,107720.00009535479,33889.82372357053
25017340100,110526.73372985629,154453.00094301358,43926.26721315729
25017341500,70110.39124743149,101015.99986441455,30905.608616983067
25017341600,107556.0511735663,94815.99995534486,12740.051218221444
25017341901,65191.90002752774,100966.00001659426,35774.09998906652
25017342202,68581.83425541306,73650.0006146305,5068.16635921743
25017342501,74158.15375145178,67717.00004757462,6441.153703877164
25017342502,72710.4201563503,63651.99883237023,9058.421323980074
25017342600,50187.0483203113,83448.0000598285,33260.95173951719
25017350500,71238.23952363487,160555.9995934124,89317.76006977752
25017350701,68650.94228076829,119470.00005071728,50819.057769948995
25017350800,73889.71355424181,174614.99927431875,100725.28572007694
25017350900,74211.68743196248,207776.005078701,133564.31764673855
25017351203,75012.53927361524,172750.0016734407,97737.46239982547
