GEOID,prediction,actual,error
25001010208,124017.4477779577,94637.00022506887,29380.44755288883
25001010304,124554.68884168382,70779.00115240485,53775.68768927897
25001012001,133802.53960610647,78084.99893500912,55717.54067109735
25001012101,137519.38804064592,85595.00085340448,51924.387187241446
25001012800,103956.87911397878,126838.00060560387,22881.12149162509
25001013400,134338.7066502288,130804.00030646689,3534.706343761907
25001013600,128042.51571946242,104624.99982355449,23417.515895907927
25001013700,130494.78339424205,93565.99979392807,36928.78360031398
25001014002,122400.50062352799,97451.99993154022,24948.500691987763
25001014600,121328.08921154702,89778.99957694371,31549.08963460331
25001014800,123441.91089237388,57041.998150032305,66399.91274234158
25003900300,142472.15353870217,76785.99989048179,65686.15364822038
25003900600,131418.32391322532,50745.002768651175,80673.32114457415
25003912100,119308.09669250237,81167.99987406076,38140.09681844161
25003913100,132108.98945768818,97568.99996671708,34539.9894909711
25003931400,126230.29846448748,102896.00028898547,23334.298175502016
25003934300,134396.2468603377,110384.999989901,24011.246870436706
25003935300,112144.56931288558,47895.99906238496,64248.57025050062
25005613400,111543.5478716496,101201.00014316279,10342.54772848681
25005613901,79438.13878281481,62166.99836912572,17271.140413689092
25005613902,139789.82008202508,67389.99968480323,72399.82039722185
25005614101,122129.09998411711,76016.99901657953,46112.10096753758
25005631300,110676.44676362057,99218.99982616707,11457.446937453497
25005631700,112424.75701459999,111419.99997025865,1004.7570443413424
25005631800,119924.89182125531,96554.0003648792,23370.891456376106
25005640202,109497.23597548976,35413.00262147993,74084.23335400983
25005640800,105635.03687312122,68087.00010050922,37548.036772612
25005641101,66314.31442838923,24069.000423463905,42245.31400492533
25005642200,66569.65301240401,64431.9993047672,2137.6537076368113
25005644200,113051.83744172208,118332.99968557544,5281.162243853367
25005645101,74160.27024637263,115555.99998446587,41395.72973809324
25005646101,129838.52904062597,87543.00000817364,42295.52903245234
25005646104,115062.3893710127,116057.99986861572,995.6104976030183
25005650102,105223.61500686698,67812.99882974592,37410.61617712106
25005650900,110091.87984894699,36430.997276664784,73660.88257228221
25005651300,98729.89456179173,36338.99763704787,62390.896924743865
25005651600,115413.32350308016,70377.0000129265,45036.32349015366
25005652100,86008.9254549046,71685.99864816415,14322.926806740448
25005652300,121995.0021811125,44695.99950694062,77299.00267417188
25005655400,95147.36951693724,102083.00008093046,6935.630563993225
25005985600,118370.22077843723,128889.00065231227,10518.779873875043
25009203301,122505.84960324044,130261.00039786374,7755.150794623303
25009204200,119313.04966798048,86844.99934963978,32468.050318340698
25009206400,118198.63302297384,98542.00001066587,19656.633012307968
25009206500,109110.23302497776,41906.000196029214,67204.23282894854
25009208301,116239.20059610775,84724.9995732187,31514.201022889058
25009209200,121849.06462435113,186093.9974669795,64244.93284262836
25009210302,112031.09602041703,113256.00012664223,1224.9041062252072
25009210500,113909.91384110192,141760.9993322859,27851.08549118397
25009210700,107818.57494700604,61320.00125519663,46498.57369180941
25009210800,83952.19919535471,68951.99874777155,15000.200447583164
25009210900,118405.4683425422,78363.00117708388,40042.46716545832
25009211100,113069.71412204983,106161.00002161518,6908.714100434649
25009212101,152239.39848099044,176068.00034600435,23828.601865013916
25009213100,110315.63239605965,192605.00224999862,82289.36985393897
25009217201,123060.7289915566,119195.99997535827,3864.72901619834
25009217401,156252.14286334222,67925.99931239549,88326.14355094673
25009221600,116700.4693154013,59205.00269291486,57495.466622486434
25009221700,121543.13361622463,75794.99902259186,45748.13459363277
25009221902,131332.86344976956,99813.0000593259,31519.863390443657
25009250200,74356.00003298343,88403.00027886494,14047.000245881514
25009250400,110551.21831240038,53073.99938229772,57477.21893010266
25009250600,102075.11376921604,54925.00193966312,47150.11182955292
25009250700,62014.52447377149,58470.99754893041,3543.526924841077
25009251500,96586.316011532,61041.99901312188,35544.316998410126
25009251800,91968.68293703922,76296.9989067417,15671.684030297518
25009252601,112132.28140068449,96316.9995660419,15815.281834642592
25009260301,110438.37278758253,102945.99966132121,7492.373126261315
25009261000,137764.45746496134,94721.99958367489,43042.45788128645
25009261101,106769.7595116216,125840.99969953092,19071.240187909323
25009263100,115911.98782568632,189048.00255084067,73136.01472515435
25009264100,102612.90461180145,135520.99934789893,32908.09473609748
25009266100,116314.34507998706,101087.99966051323,15226.34541947383
25009266400,136941.05473149655,80313.00081750876,56628.053913987795
25011040501,125013.55485001426,53468.00141672147,71545.5534332928
25011040600,112491.7344448506,100819.99984671711,11671.734598133495
25011041100,115976.45028367771,87813.00030762548,28163.44997605223
25011041301,49536.14191893201,49999.9992099127,463.85729098068987
25011041302,107705.81778583872,36495.001467374765,71210.81631846396
25013800101,116734.76984108414,62718.000220351765,54016.769620732375
25013800300,118251.1883349612,59860.99740903095,58390.190925930256
25013800900,100598.27225928681,15538.997689091368,85059.27457019544
25013801300,124889.91206743308,37207.99725562164,87681.91481181144
25013801503,126089.56358921515,59327.001104662726,66762.56248455241
25013801602,142888.56952517497,75637.00038174585,67251.56914342912
25013801603,124149.13364790221,96011.00045627607,28138.13319162614
25013801605,129708.7854861869,71928.9994851845,57779.7860010024
25013802601,111287.65427700897,63734.0000650175,47553.654211991474
25013810414,109672.40232578856,91509.9999518645,18162.40237392405
25013811102,98020.22440359948,77869.99922203235,20150.225181567133
25013811200,114161.95233317684,71986.00055731527,42175.95177586157
25013811301,122780.11618664034,73750.00043285062,49030.11575378972
25013811302,106296.43573807608,64038.00010791176,42258.43563016432
25013812104,141772.96252026397,52437.99817246565,89334.96434779832
25013812202,123802.71337761752,51667.00248804428,72135.71088957324
25013812403,127022.27654774752,59647.99818170989,67374.27836603763
25013812800,104636.96513970879,88306.99966793659,16329.9654717722
25013813208,107888.81274324024,83351.00076079565,24537.81198244459
25013813601,127392.68562049109,103217.9997370367,24174.685883454382
25013813802,117360.29758629878,101476.9997714056,15883.297814893187
25015820700,138880.3851150909,79409.99861792428,59470.38649716662
25015822401,139263.15889172786,96181.99941631597,43081.159475411885
25017311300,84239.03762513433,80316.0001272082,3923.037497926125
25017312100,101841.90325224346,84678.00092936654,17163.902322876922
25017312300,91096.94506505017,117649.00029845543,26552.055233405263
25017312502,117406.66699937909,117006.99975983243,399.6672395466594
25017315401,126867.63333142336,107656.00001787455,19211.63331354881
25017316201,116480.33927892728,153333.00014368846,36852.66086476119
25017317103,141091.34739991307,160865.00172916017,19773.654329247103
25017320107,142241.27479348506,178621.0002768626,36379.72548337752
25017321302,138562.84987137705,96016.00025163122,42546.84961974583
25017321500,141673.38089813344,94274.00004317224,47399.3808549612
25017323101,126410.50533368034,169119.99869358906,42709.49335990872
25017327101,126914.61211229739,164582.99937886355,37668.38726656616
25017330102,139496.3786307974,141979.0011925304,2482.6225617330056
25017330202,114168.52733363786,100345.00013439087,13823.527199246993
25017331300,121649.8949955614,142266.0013637035,20616.106368142093
25017332100,134058.1732972251,186117.9976197116,52059.8243224865
25017332202,134127.69939585854,126094.00012726156,8033.699268596974
25017332401,117359.94643722092,146145.9986255643,28786.052188343383
25017333300,109392.83354649237,96354.0000379679,13038.833508524476
25017335200,121764.48948220685,130384.99929526733,8620.50981306049
25017335302,133174.51763835087,157222.0010097842,24047.483371433336
25017336300,104363.9914233683,160750.0007608549,56386.0093374866
25017337300,115784.89668822127,105644.9999301396,10139.896758081668
