GEOID,prediction,actual,error
25001010208,-1001583.2981963091,94637.00022506887,1096220.298421378
25001010304,-1110715.4488273163,70779.00115240485,1181494.449979721
25001012001,-1034962.3632977385,78084.99893500912,1113047.3622327475
25001012101,-930810.7125574105,85595.00085340448,1016405.713410815
25001012800,-945647.9713201585,126838.00060560387,1072485.9719257622
25001013400,-1075785.0283816345,130804.00030646689,1206589.0286881013
25001013600,-1273448.4929399532,104624.99982355449,1378073.4927635076
25001013700,-1428781.4313171173,93565.99979392807,1522347.4311110454
25001014002,-1509217.6395789061,97451.99993154022,1606669.6395104462
25001014600,-1406846.8921085123,89778.99957694371,1496625.891685456
25001014800,-1442704.4936733139,57041.998150032305,1499746.4918233461
25003900300,-1271733.6028590896,76785.99989048179,1348519.6027495714
25003900600,-1600582.6173182218,50745.002768651175,1651327.620086873
25003912100,-836985.9944071814,81167.99987406076,918153.9942812421
25003913100,-1155657.445871842,97568.99996671708,1253226.4458385592
25003931400,-964976.9418074685,102896.00028898547,1067872.942096454
25003934300,-1173811.7992837497,110384.999989901,1284196.7992736506
25003935300,-1175008.4812902997,47895.99906238496,1222904.4803526846
25005613400,-1286602.9147934222,101201.00014316279,1387803.914936585
25005613901,-999056.4549700957,62166.99836912572,1061223.4533392214
25005613902,-1030523.3168409358,67389.99968480323,1097913.3165257392
25005614101,-825999.7471460484,76016.99901657953,902016.7461626278
25005631300,-1458148.1294327795,99218.99982616707,1557367.1292589465
25005631700,-1369266.13746394,111419.99997025865,1480686.1374341988
25005631800,-1478963.6225036867,96554.0003648792,1575517.6228685658
25005640202,-1688284.0900695822,35413.00262147993,1723697.0926910623
25005640800,-1471263.4155441723,68087.00010050922,1539350.4156446815
25005641101,-2225385.1935765836,24069.000423463905,2249454.1940000476
25005642200,-2228238.561462905,64431.9993047672,2292670.560767672
25005644200,-1571707.8854451794,118332.99968557544,1690040.885130755
25005645101,-881206.5680855915,115555.99998446587,996762.5680700574
25005646101,-1063318.3422833523,87543.00000817364,1150861.342291526
25005646104,-805870.1737866122,116057.99986861572,921928.173655228
25005650102,-1409329.696274617,67812.99882974592,1477142.695104363
25005650900,-1539744.6080246156,36430.997276664784,1576175.6053012803
25005651300,-1619351.610725754,36338.99763704787,1655690.6083628018
25005651600,-2192397.4858959173,70377.0000129265,2262774.4859088436
25005652100,-1889647.198885801,71685.99864816415,1961333.197533965
25005652300,-1896682.9154496912,44695.99950694062,1941378.9149566318
25005655400,-1175368.511956964,102083.00008093046,1277451.5120378945
25005985600,-1339822.0758859834,128889.00065231227,1468711.0765382957
25009203301,-1668187.205497031,130261.00039786374,1798448.205894895
25009204200,-1953829.997495233,86844.99934963978,2040674.9968448728
25009206400,-1639085.8313682526,98542.00001066587,1737627.8313789186
25009206500,-1686946.755477241,41906.000196029214,1728852.7556732702
25009208301,-1478071.0370173536,84724.9995732187,1562796.0365905722
25009209200,-1397280.0646156764,186093.9974669795,1583374.062082656
25009210302,-1505832.5340925886,113256.00012664223,1619088.5342192308
25009210500,-1447077.7085454175,141760.9993322859,1588838.7078777035
25009210700,-1787147.512311583,61320.00125519663,1848467.5135667794
25009210800,-2135463.607382614,68951.99874777155,2204415.606130386
25009210900,-1557761.214520677,78363.00117708388,1636124.215697761
25009211100,-1531410.05699516,106161.00002161518,1637571.057016775
25009212101,-887088.1888680682,176068.00034600435,1063156.1892140724
25009213100,-759318.0723836266,192605.00224999862,951923.0746336252
25009217201,-1391592.1248954935,119195.99997535827,1510788.1248708519
25009217401,-1939543.5447914978,67925.99931239549,2007469.5441038932
25009221600,-930937.38160659,59205.00269291486,990142.3842995048
25009221700,-1080401.59311166,75794.99902259186,1156196.592134252
25009221902,-635540.2556018921,99813.0000593259,735353.2556612181
25009250200,-2123592.674425312,88403.00027886494,2211995.674704177
25009250400,-2117273.2055029473,53073.99938229772,2170347.204885245
25009250600,-2061450.200930621,54925.00193966312,2116375.202870284
25009250700,-2120003.4456253345,58470.99754893041,2178474.443174265
25009251500,-1606017.1281378597,61041.99901312188,1667059.1271509817
25009251800,-1959161.7202405548,76296.9989067417,2035458.7191472964
25009252601,-1858139.748437912,96316.9995660419,1954456.7480039538
25009260301,-938134.5444568179,102945.99966132121,1041080.5441181391
25009261000,-1562243.5736201024,94721.99958367489,1656965.5732037772
25009261101,-860328.875517417,125840.99969953092,986169.8752169479
25009263100,-969255.9948129061,189048.00255084067,1158303.9973637469
25009264100,-940253.050253526,135520.99934789893,1075774.049601425
25009266100,-818225.5364051136,101087.99966051323,919313.5360656269
25009266400,-1300984.9821987962,80313.00081750876,1381297.983016305
25011040501,-970104.8136456878,53468.00141672147,1023572.8150624093
25011040600,-1097817.7247530806,100819.99984671711,1198637.7245997977
25011041100,-1193263.5343262502,87813.00030762548,1281076.5346338756
25011041301,-1328714.0628937036,49999.9992099127,1378714.0621036163
25011041302,-1632865.5184327727,36495.001467374765,1669360.5199001476
25013800101,-1423907.7147969294,62718.000220351765,1486625.7150172812
25013800300,-1716064.1107907188,59860.99740903095,1775925.1081997498
25013800900,-2025485.089577842,15538.997689091368,2041024.0872669334
25013801300,-1853197.567069637,37207.99725562164,1890405.5643252586
25013801503,-1559511.3358496279,59327.001104662726,1618838.3369542905
