GEOID,prediction,actual,error
9110400101,103021.63605276142,67398.00140879725,35623.634643964164
9110415900,45157.92828999772,42211.99986900466,2945.9284209930556
9110416100,79918.86294455355,47030.00165715466,32888.86128739889
9110417200,68436.17716156335,50312.99813838841,18123.17902317494
9110420700,103599.49152628132,115391.99983982292,11792.508313541606
9110430201,99179.10133330878,133866.0000388983,34686.89870558951
9110430602,60637.42781944081,132877.99977615246,72240.57195671165
9110430603,86119.40082690245,57222.000801639726,28897.400025262723
9110430604,94925.1286267133,117135.00012445764,22209.871497744345
9110462101,133873.9801599847,143344.9993724283,9471.019212443614
9110464102,139839.29594605791,100518.00009870974,39321.29584734817
9110473100,94134.22174216194,117668.99954493056,23534.777802768614
9110473400,117509.190918523,83392.99938031413,34116.19153820888
9110473501,92791.43528211211,134470.0000564094,41678.56477429728
9110473602,120602.81785969023,84791.99944525943,35810.8184144308
9110477103,118886.77810042027,125648.99985432002,6762.22175389975
9110480500,97180.6940918597,94687.99987359997,2492.6942182597268
9110480600,53690.4599289611,62829.000608167575,9138.540679206475
9110481300,100664.92940178583,105565.00000788196,4900.070606096124
9110484200,132947.9561864737,121087.99979524469,11859.956391229003
9110487400,131234.06537453947,166925.99795404758,35691.93257950811
9110487500,121183.73031757979,119394.00037040387,1789.729947175918
9110492600,96244.44531203972,123263.99971201747,27019.554399977744
9110494202,68099.38600474905,105624.99995414421,37525.61394939516
9110497400,84591.56407837076,214750.00051106617,130158.43643269541
9110497500,80232.22777691612,127985.99996596822,47753.772189052106
9110497700,147595.99426252206,216016.00297657627,68420.00871405422
9110501300,67825.82603993177,21264.99799853658,46560.82804139519
9110502500,64583.72289237156,27211.999863312536,37371.72302905902
9110503300,45931.390258685744,38684.998445050354,7246.39181363539
9110503900,59048.00804345544,59625.001139548964,576.9930960935235
9110504100,22789.41027650237,43124.99759835026,20335.58732184789
9110504300,56413.34263998732,41087.00016315587,15326.34247683145
9110504800,65085.13019040073,56768.99857917053,8316.131611230194
9110504900,79158.32559058188,50563.000691493595,28595.324899088286
9110510300,98895.66968769574,41936.99941721387,56958.670270481874
9110511400,81165.6324050532,101032.99996732695,19867.36756227375
9110515101,74877.26016669335,136290.0008504971,61412.74068380376
9110515102,84032.8716475594,91711.00008967253,7678.128442113128
9110520201,145226.92048590933,180499.99833782966,35273.07785192033
9110520202,125085.99332704092,181749.99932023103,56664.005993190105
9110524300,100105.70157525373,97999.99977941348,2105.701795840243
9110524501,47711.04268860931,57704.999913375425,9993.957224766113
9110524700,97152.55157181574,79532.00087294915,17620.550698866587
9110526102,148285.816667531,138928.9994980103,9356.817169520713
9110530400,138405.16302244258,77628.99974968802,60776.16327275455
9110535101,119479.14522824137,124022.99936823826,4543.854139996896
9110535102,105242.74821412264,92459.00019914666,12783.74801497598
9110538201,109540.6489612915,111934.9997493521,2394.3507880605903
9110860100,108904.18459459324,122499.99959232523,13595.814997731984
9110881300,101880.955769836,52137.002249034405,49743.953520801595
9110881500,109578.6149249652,57433.9998323618,52144.615092603395
9120060100,127763.54341222778,185520.99979534367,57757.45638311589
9120060400,125604.21661666175,250000.99678762152,124396.78017095977
9120060600,77404.80518507972,201058.99959228587,123654.19440720615
9120061100,110582.80225503101,187058.99801588996,76476.19576085894
9120070200,61433.61943534286,67083.00019501589,5649.380759673033
9120070500,26559.727330392372,38028.00087919457,11468.2735488022
9120070900,31102.799365498737,26042.00040489227,5060.798960606466
9120072100,79053.4233786925,63113.000421316436,15940.422957376068
9120072200,55354.12222681467,72115.00119927654,16760.87897246187
9120072500,84237.3471532705,68587.99977532221,15649.347377948288
9120073900,30463.735715174174,50388.99929159237,19925.263576418198
9120080500,95668.60548925935,84896.00024812244,10772.605241136916
9120080700,48735.06690881759,84860.99994960334,36125.93304078575
9120090300,109749.42898968165,152174.00031607205,42424.5713263904
9120090400,86552.18615346315,146533.99892352312,59981.81277005997
9120100200,78455.02329111319,151457.99875414357,73002.97546303038
9120105200,131785.03838589462,192009.000256562,60223.96187066738
9130541500,94443.06553693228,65900.00100446038,28543.064532471893
9130542000,121436.18965214901,100956.99991879091,20479.1897333581
9130550201,123037.33658282063,133893.0010687536,10855.664485932968
9130590102,101136.83727933715,105179.00003753696,4042.1627581998036
9130610400,105420.58640189253,145624.99861917354,40204.412217281
9140110100,59794.751777276804,80199.99945844217,20405.24768116536
9140125300,47851.67427984796,89855.000377262,42003.326097414036
9140343101,104139.7034035432,143750.00009135262,39610.296687809416
9140343400,110485.62314482428,154657.00217796242,44171.379033138146
9140345100,94517.69469257403,80140.99988104118,14376.694811532856
9140345201,83698.42533252612,92500.00031738624,8801.574984860112
9140350200,56106.50418572255,21797.000179402035,34309.504006320516
9140350300,65810.1163847816,46563.00108274651,19247.115302035098
9140351400,81788.88310226152,53544.99725666607,28243.885845595447
9140351800,93117.4286781873,62434.00081618622,30683.427862001074
9140352000,125368.10784026535,77082.99921688359,48285.10862338176
9140352200,100078.52048452671,41481.99995513723,58596.52052938948
9140352400,90813.86686461298,53270.00269643754,37543.86416817544
9140352500,88186.03420048038,54697.99955795506,33488.03464252532
9140352701,94803.55844873414,55737.00012943811,39066.55831929603
9140360300,110909.42310248729,86124.99928394369,24784.423818543597
9140360400,79825.26222197682,96471.00018377998,16645.737961803155
9140361300,105095.73311517108,110624.99983330071,5529.266718129627
9140362101,122369.54714778799,91250.00007143013,31119.547076357863
9140425400,107556.80271597758,94175.00019037134,13381.80252560624
9140425500,47895.036178110066,72472.99903445964,24577.96285634958
9150825000,122257.13613979329,94946.00022247835,27311.13591731494
9150890203,114849.26544184853,89375.00007071861,25474.26537112992
9150901102,113976.0696342671,96549.00004948195,17427.069584785146
9150904400,72594.23560272562,70536.00065115481,2058.2349515708047
9150904500,55005.27693360848,81607.0002649418,26601.72333133332
9160262100,132864.72314059082,106951.00006452504,25913.723076065784
9160300100,121531.23822615207,115480.99998871684,6050.238237435231
9160300400,128281.46475928258,119354.9997011076,8926.465058174974
9160303100,134819.8616441061,110999.99998073207,23819.86166337403
9160310200,75245.45924193635,59256.9994316418,15988.459810294546
9160320200,112659.98668017826,79658.9993891092,33000.98729106906
9160410101,143750.7394824167,156154.0010167144,12403.261534297693
9170140500,71729.57519597397,48438.00255634859,23291.57263962538
9170140900,66376.49288567563,47682.99885223328,18693.49403344235
9170141800,109275.3581723342,73095.00072046802,36180.35745186619
9170142100,78012.89100102085,42368.00254618975,35644.888454831096
9170142300,77340.74622858464,29072.0014193908,48268.74480919384
9170150400,81807.38113487951,97451.99979766576,15644.618662786248
9170154500,59548.20757122051,56977.99880470029,2570.20876652022
9170154800,53167.395248049936,115345.99999455718,62178.60474650724
9170157300,93233.36357686107,156515.00060287095,63281.63702600988
9170160100,119774.38319640857,210929.00423858233,91154.62104217376
9170165900,119280.08406825076,140305.000376768,21024.916308517248
9170170500,85387.9206580162,112386.00031354214,26998.079655525944
9170171100,81366.71142511918,86462.99968391264,5096.288258793458
9170171400,70904.68578028459,58140.000467347345,12764.685312937247
9170175100,49971.906141121486,82249.99947885863,32278.093337737148
9170175900,56941.073438211475,98036.00017062688,41094.926732415406
9170180102,77652.44227593596,86783.9999809692,9131.557705033236
9170180300,104780.8855883147,59374.998586443784,45405.88700187092
9170180400,96491.14048937903,89134.99991744693,7356.140571932105
9170180601,129909.53318371896,113043.00008873377,16866.533094985192
9170184101,61221.664591337765,68589.00134090707,7367.336749569302
9170186100,111383.7402607819,120885.00012588069,9501.259865098793
9170190200,110421.093968016,176528.00132452277,66106.90735650678
9170190303,125413.94861334997,130278.00032504497,4864.051711694992
9170361500,56539.053849792705,41453.99735969704,15085.056490095667
9180690700,81567.11291552482,43234.99895737903,38332.11395814579
9180690900,90465.00978828227,93732.99972398466,3267.9899357023824
9180693700,111773.9251735031,134476.00061257515,22702.075439072054
9180696500,50177.645386938195,65890.00007751747,15712.354690579275
9180696701,79046.17675710793,34643.99945450897,44402.17730259895
9180702300,87714.14657517435,72286.0008482043,15428.145726970048
9180702700,97258.98558989374,81405.99930807581,15852.986281817924
9180705101,116330.79009231446,101614.99997078817,14715.790121526297
9180714103,121013.80293298404,140234.00115992606,19220.198226942026
9180870100,108881.39492708865,106593.99992858905,2287.3949984995998
9180870502,117070.74527351728,86458.00069333175,30612.744580185536
9180870701,107159.78506392085,107720.99981982644,561.2147559055884
9190010202,155108.99105172223,231912.0035544827,76803.01250276048
9190020200,132437.76162332794,250000.99678762152,117563.23516429358
9190020500,140963.34121881996,188631.0023338233,47667.66111500334
9190021000,74886.70434100233,160192.0012020635,85305.29686106116
9190021501,64482.26429862541,52155.00097175054,12327.263326874869
9190021502,42604.38969890313,73703.99972856004,31099.610029656913
9190030400,104021.82706249911,250000.99678762152,145979.1697251224
9190035300,117072.36250735872,250000.99678762152,132928.6342802628
