GEOID     , prediction         , actual             , error
9110400101, 114537.93982647455 ,  67398.00140879725 ,  47139.9384176773
9110415900,  34991.56038714164 ,  42211.99986900466 ,   7220.439481863024
9110416100,  79970.41264147186 ,  47030.00165715466 ,  32940.410984317205
9110417200,  60102.432724945305,  50312.99813838841 ,   9789.434586556898
9110420700,  70455.28330235863 , 115391.99983982292 ,  44936.716537464294
9110430201, 105153.11426200705 , 133866.0000388983  ,  28712.885776891242
9110430602, 136032.91074798847 , 132877.99977615246 ,   3154.9109718360123
9110430603, 127156.94521575829 ,  57222.000801639726,  69934.94441411857
9110430604, 129167.17277222191 , 117135.00012445764 ,  12032.172647764266
9110462101, 195296.40362636914 , 143344.9993724283  ,  51951.404253940826
9110464102, 131735.2841425762  , 100518.00009870974 ,  31217.284043866443
9110473100, 115118.55770625093 , 117668.99954493056 ,   2550.4418386796315
9110473400,  75732.01096571716 ,  83392.99938031413 ,   7660.98841459697
9110473501, 101055.90046984663 , 134470.0000564094  ,  33414.09958656276
9110473602, 136775.5097677572  ,  84791.99944525943 ,  51983.51032249778
9110477103, 137006.2910989765  , 125648.99985432002 ,  11357.291244656488
9110480500,  77046.5834705306  ,  94687.99987359997 ,  17641.416403069365
9110480600,  80596.32337904233 ,  62829.000608167575,  17767.32277087475
9110481300,  89172.33032884139 , 105565.00000788196 ,  16392.66967904057
9110484200, 149645.06783477252 , 121087.99979524469 ,  28557.068039527832
9110487400,  94257.11973098633 , 166925.99795404758 ,  72668.87822306124
9110487500, 130748.3119574454  , 119394.00037040387 ,  11354.311587041535
9110492600, 119945.18842378164 , 123263.99971201747 ,   3318.8112882358255
9110494202,  96852.75279801102 , 105624.99995414421 ,   8772.247156133191
9110497400, 135953.6986933507  , 214750.00051106617 ,  78796.30181771546
9110497500, 125474.32387053958 , 127985.99996596822 ,   2511.6760954286437
9110497700, 131149.21804059632 , 216016.00297657627 ,  84866.78493597996
9110501300,  19412.614232465494,  21264.99799853658 ,   1852.3837660710851
9110502500,  39732.31201088772 ,  27211.999863312536,  12520.312147575183
9110503300,  27789.573278289055,  38684.998445050354,  10895.425166761299
9110503900,  81894.77509661124 ,  59625.001139548964,  22269.773957062273
9110504100,  57374.03845742123 ,  43124.99759835026 ,  14249.04085907097
9110504300,  37564.676639639074,  41087.00016315587 ,   3522.323523516796
9110504800,  83203.81247867776 ,  56768.99857917053 ,  26434.81389950723
9110504900,  41571.015569382085,  50563.000691493595,   8991.98512211151
9110510300,  79280.76698333083 ,  41936.99941721387 ,  37343.76756611696
9110511400, 111766.53494508835 , 101032.99996732695 ,  10733.534977761403
9110515101,  80955.9281378329  , 136290.0008504971  ,  55334.0727126642
9110515102,  99150.65797536673 ,  91711.00008967253 ,   7439.657885694207
9110520201, 131268.7490015869  , 180499.99833782966 ,  49231.24933624276
9110520202, 128381.04394466656 , 181749.99932023103 ,  53368.955375564474
9110524300, 112166.8238870921  ,  97999.99977941348 ,  14166.824107678622
9110524501, 105067.90524137428 ,  57704.999913375425,  47362.90532799885
9110524700,  77072.94821166142 ,  79532.00087294915 ,   2459.0526612877293
9110526102, 126513.5851436528  , 138928.9994980103  ,  12415.41435435749
9110530400, 126525.12524123717 ,  77628.99974968802 ,  48896.125491549144
9110535101, 122984.70283844575 , 124022.99936823826 ,   1038.2965297925111
9110535102, 139761.45957120875 ,  92459.00019914666 ,  47302.45937206209
9110538201, 124724.26613294479 , 111934.9997493521  ,  12789.266383592694
9110860100, 124747.42586420407 , 122499.99959232523 ,   2247.4262718788377
9110881300, 117678.60721009238 ,  52137.002249034405,  65541.60496105798
9110881500, 111317.20905747182 ,  57433.9998323618  ,  53883.20922511002
9120060100, 131317.18058917706 , 185520.99979534367 ,  54203.819206166605
9120060400, 205546.94427928916 , 250000.99678762152 ,  44454.05250833236
9120060600, 126922.6274742901  , 201058.99959228587 ,  74136.37211799576
9120061100, 166097.24367351312 , 187058.99801588996 ,  20961.754342376837
9120070200,  43597.67174721852 ,  67083.00019501589 ,  23485.328447797372
9120070500,  54089.701645772446,  38028.00087919457 ,  16061.700766577873
9120070900,  60092.32574988163 ,  26042.00040489227 ,  34050.32534498936
9120072100,  80840.5963878459  ,  63113.000421316436,  17727.595966529465
9120072200, 101657.12869142392 ,  72115.00119927654 ,  29542.12749214738
9120072500,  93241.08667854372 ,  68587.99977532221 ,  24653.086903221512
9120073900,  47888.43173681226 ,  50388.99929159237 ,   2500.5675547801147
9120080500, 103681.92870495241 ,  84896.00024812244 ,  18785.928456829977
9120080700,  79393.50497303116 ,  84860.99994960334 ,   5467.494976572183
9120090300, 147934.1640449061  , 152174.00031607205 ,   4239.836271165957
9120090400, 118578.75544214046 , 146533.99892352312 ,  27955.243481382655
9120100200, 167292.78305434727 , 151457.99875414357 ,  15834.784300203697
9120105200, 119180.06890725925 , 192009.000256562   ,  72828.93134930274
9130541500,  65004.86649189886 ,  65900.00100446038 ,    895.1345125615262
9130542000,  67139.72121071132 , 100956.99991879091 ,  33817.2787080796
9130550201, 139901.61689168515 , 133893.0010687536  ,   6008.615822931548
9130590102, 114634.03709856058 , 105179.00003753696 ,   9455.037061023628
9130610400, 144718.59649378236 , 145624.99861917354 ,    906.4021253911778
9140110100,  24915.710446907688,  80199.99945844217 ,  55284.28901153448
9140125300,  66258.71466445856 ,  89855.000377262   ,  23596.285712803437
9140343101, 103773.78050806554 , 143750.00009135262 ,  39976.21958328708
9140343400, 136059.61719973062 , 154657.00217796242 ,  18597.3849782318
9140345100,  91559.74453878155 ,  80140.99988104118 ,  11418.744657740375
9140345201,  98519.89590449461 ,  92500.00031738624 ,   6019.8955871083745
9140350200,  52712.97905063741 ,  21797.000179402035,  30915.978871235377
9140350300,  31340.624059404494,  46563.00108274651 ,  15222.377023342015
9140351400,  50746.73495225473 ,  53544.99725666607 ,   2798.2623044113425
9140351800,  59639.19391304263 ,  62434.00081618622 ,   2794.806903143588
9140352000,  72155.07266001427 ,  77082.99921688359 ,   4927.926556869323
9140352200,  75893.11573582276 ,  41481.99995513723 ,  34411.11578068553
9140352400,  69644.38634704595 ,  53270.00269643754 ,  16374.383650608404
9140352500,  56121.85170541994 ,  54697.99955795506 ,   1423.8521474648805
9140352701,  40623.11622518531 ,  55737.00012943811 ,  15113.883904252798
9140360300,  77689.71229881723 ,  86124.99928394369 ,   8435.286985126455
9140360400,  65996.46944496904 ,  96471.00018377998 ,  30474.530738810936
9140361300, 101628.96499857807 , 110624.99983330071 ,   8996.034834722639
9140362101, 115064.88483758175 ,  91250.00007143013 ,  23814.88476615162
9140425400,  93513.63918621387 ,  94175.00019037134 ,    661.361004157472
9140425500, 100337.30588407676 ,  72472.99903445964 ,  27864.306849617118
9150825000, 111448.83686868071 ,  94946.00022247835 ,  16502.836646202355
9150890203,  97766.98186386976 ,  89375.00007071861 ,   8391.98179315115
9150901102,  94603.53254542282 ,  96549.00004948195 ,   1945.4675040591392
9150904400,  82732.86308466225 ,  70536.00065115481 ,  12196.862433507442
9150904500,  78461.62773241098 ,  81607.0002649418  ,   3145.3725325308187
9160262100, 114427.03632197413 , 106951.00006452504 ,   7476.036257449086
9160300100, 103215.7198552513  , 115480.99998871684 ,  12265.280133465538
9160300400, 100936.34815194283 , 119354.9997011076  ,  18418.651549164773
