GEOID,prediction,actual,error
9110400101,90604.50430800399,67398.00140879725,23206.50289920674
9110415900,26974.717193135046,42211.99986900466,15237.282675869617
9110416100,68296.88000917746,47030.00165715466,21266.878352022803
9110417200,85443.31018064001,50312.99813838841,35130.3120422516
9110420700,82033.45658074055,115391.99983982292,33358.54325908238
9110430201,106077.65807255493,133866.0000388983,27788.34196634336
9110430602,131837.9210487751,132877.99977615246,1040.0787273773458
9110430603,105222.19899728021,57222.000801639726,48000.198195640485
9110430604,120459.71328519132,117135.00012445764,3324.713160733678
9110462101,193525.2703954791,143344.9993724283,50180.271023050795
9110464102,132688.16185688594,100518.00009870974,32170.161758176197
9110473100,113455.9580989407,117668.99954493056,4213.04144598986
9110473400,65229.326176809016,83392.99938031413,18163.67320350511
9110473501,84138.70178050535,134470.0000564094,50331.298275904046
9110473602,117976.85282079528,84791.99944525943,33184.85337553585
9110477103,138974.42933462703,125648.99985432002,13325.429480307008
9110480500,76309.3104230484,94687.99987359997,18378.689450551567
9110480600,50393.79502327516,62829.000608167575,12435.205584892414
9110481300,84344.56327623903,105565.00000788196,21220.436731642927
9110484200,138674.24834572044,121087.99979524469,17586.24855047575
9110487400,117273.73905131902,166925.99795404758,49652.25890272856
9110487500,152381.7633135264,119394.00037040387,32987.762943122536
9110492600,124141.1251916289,123263.99971201747,877.1254796114372
9110494202,68945.41140006007,105624.99995414421,36679.58855408414
9110497400,143784.9105435472,214750.00051106617,70965.08996751899
9110497500,119692.95444146902,127985.99996596822,8293.045524499204
9110497700,135175.28781236103,216016.00297657627,80840.71516421525
9110501300,33059.39897645546,21264.99799853658,11794.400977918878
9110502500,37369.760193701106,27211.999863312536,10157.76033038857
9110503300,43469.54205110381,38684.998445050354,4784.543606053456
9110503900,90561.97606580223,59625.001139548964,30936.974926253264
9110504100,29711.5953103191,43124.99759835026,13413.40228803116
9110504300,32633.957482256665,41087.00016315587,8453.042680899205
9110504800,53990.42293006393,56768.99857917053,2778.575649106606
9110504900,28009.39924947868,50563.000691493595,22553.601442014915
9110510300,58525.264452687654,41936.99941721387,16588.265035473785
9110511400,100375.40551256931,101032.99996732695,657.5944547576364
9110515101,86470.47754931606,136290.0008504971,49819.52330118105
9110515102,108099.06836652935,91711.00008967253,16388.068276856822
9110520201,128886.21889676347,180499.99833782966,51613.77944106619
9110520202,121403.72567118451,181749.99932023103,60346.27364904652
9110524300,115724.36937915818,97999.99977941348,17724.369599744692
9110524501,96623.7116869954,57704.999913375425,38918.71177361998
9110524700,59614.78517058341,79532.00087294915,19917.215702365742
9110526102,140725.05992883875,138928.9994980103,1796.0604308284528
9110530400,121898.6139555687,77628.99974968802,44269.61420588067
9110535101,117782.58444670633,124022.99936823826,6240.414921531934
9110535102,132607.3649719992,92459.00019914666,40148.36477285254
9110538201,117285.51775717507,111934.9997493521,5350.518007822975
9110860100,122539.18142716111,122499.99959232523,39.18183483587927
9110881300,110173.26834716731,52137.002249034405,58036.2660981329
9110881500,111431.53850542869,57433.9998323618,53997.53867306689
9120060100,111855.88785127281,185520.99979534367,73665.11194407086
9120060400,189819.5543218125,250000.99678762152,60181.44246580903
9120060600,117765.98644291844,201058.99959228587,83293.01314936743
9120061100,176849.13270883966,187058.99801588996,10209.865307050291
9120070200,61048.541034213864,67083.00019501589,6034.459160802027
9120070500,39883.90779949944,38028.00087919457,1855.906920304864
